Class Name	Parent Class	YAML Class Name	Description	Flags	Slot Name	YAML Slot Name	Range	Card	Slot Description	URI
					aliases		Curie	1..*	Human-readable aliases of the genome assembly. Can be imprecise, as preciseness is enforced in the other fields.	https://w3id.org/fga-wg/schema/genome-assembly/aliases
GenomicAnnotationFile	File	GenomicAnnotationFile	Information about a genomic annotation / track file. GenomicAnnotationFile is a specification of the File entity and inherits all the fields defined in File, in addition to the fields that are specific to GenomicAnnotationFile, as detailed here.							
					genomic_annotation_digest		Curie	0..1	Content-derived digest for distributed identification of genomic annotation files. (This field is currently a placeholder, as an algorithm for generating such a digest is yet to be specified.).	https://w3id.org/fga-wg/schema/genomic-annotation-file/genomic_annotation_digest
					genome_assembly		*GenomeAssembly	1..1	Information about the genome assembly used to generate the genomic annotation file, consequently defining the genomic coordinate system for the annotation.	https://w3id.org/fga-wg/schema/genomic-annotation-file/genome_assembly
					track_geometry		TrackGeometry	1..1	Geometric properties of the sequence features in the genomic annotation file if considered as an one-dimensional genome browser track (also relevant for non-visual analyses).	https://w3id.org/fga-wg/schema/genomic-annotation-file/track_geometry
					sequence_features		Term	1..*	List of sequence features described by the genomic annotation file.	https://w3id.org/fga-wg/schema/genomic-annotation-file/sequence_features
InputSource		InputSource	General object representing the source of data files, samples, or other entities used as input to a process or a result. An input source refering to a single file or sample object will represent that item only, while an input source referring to a container or process may represent a number of disctinct input items. InputSource also contains information about the type of relationship, replication labelling, versioning and retrieval date.							
					inputsource_external_ref		URIorCURIE	0..1	"Reference to an external entity as the input source, using a globally unique identifier or an URL. External references will in most cases refer to a database, data record, data file, website or other data source. One of ""inputsource_external_ref"" or ""inputsource_ref"" must be specified."	https://w3id.org/fga-wg/schema/input-source/inputsource_external_ref
					inputsource_ref		Curie	0..1	"Reference to an internal object as the input source using a local identifier. Entities to be used as an internal input source includes FileCollection, Sample, Experiment, Analysis or File as restricted by the description of the field where the input source is used. One of ""inputsource_external_ref"" or ""inputsource_ref"" must be specified."	https://w3id.org/fga-wg/schema/input-source/inputsource_ref
					database_accessions		Any	0..*	"Accession numbers for database records used as input source. Used in connection with ""inputsource_external_ref""."	https://w3id.org/fga-wg/schema/input-source/database_accessions
					qualified_relation		URIorCURIE	1..1	A description of the relationship with the input source.	https://w3id.org/fga-wg/schema/input-source/qualified_relation
					biological_replicate_labels		str	0..*	Labels denoting the biological replicates within which the relation is defined, if any.	https://w3id.org/fga-wg/schema/input-source/biological_replicate_labels
					technical_replicate_labels		str	0..*	Labels denoting the technical replicates within which the relation is defined, if any.	https://w3id.org/fga-wg/schema/input-source/technical_replicate_labels
					version		str	0..1	Version information for the retrieval from the input source.	https://w3id.org/fga-wg/schema/input-source/version
					date_of_retrieval		XSDDate	0..1	Date of retrieval from the input source, typically used to timestamp downloading data from a database or URL.	https://w3id.org/fga-wg/schema/input-source/date_of_retrieval
OntologyVersions		OntologyVersions	Information about an ontology used for the bundle.							
					namespace		str	1..1	"The CURIE namespace (prefix) an ontology (e.g. ""GO"" for Gene Ontology)."	https://w3id.org/fga-wg/schema/bundle_metadata/namespace
					ontology_url		URI	1..1	The version-agnostic URL of the ontology (e.g. the IRI of the ontology in OWL).	https://w3id.org/fga-wg/schema/bundle_metadata/ontology_url
					versioned_ontology_url		URI	1..1	"The versioned URL of the ontology (e.g. the ""versionIRI"" in OWL)."	https://w3id.org/fga-wg/schema/bundle_metadata/versioned_ontology_url
QualityAssessment		QualityAssessment	Represents the results of a quality assessment that has been carried out on a data file resulting from an experiment or analysis.							
					assessment_method		Any	1..1	Quality assessment method that has been carried out (e.g. BUSCO, OMArk, peak calling statistics, etc.)	https://w3id.org/fga-wg/schema/quality-assessment/assessment_method
					assessment_values		Any	1..1	Main values produced by the quality assessment.	https://w3id.org/fga-wg/schema/quality-assessment/assessment_values
					assessment_details_url		URI	0..1	URL to a report containing the detailed output from the quality assessment.	https://w3id.org/fga-wg/schema/quality-assessment/assessment_details_url
Sample		Sample	Information about a biospecimen/sample used as raw material for lab experiments.							
					sample_external_id		Curie	1..1	External, globally unique identifier for the biospecimen/sample.	https://w3id.org/fga-wg/schema/sample/sample_external_id
				I	sample_id		Curie	1..1	Internal identifier for the biospecimen/sample (unique within the metadata deposit).	https://w3id.org/fga-wg/schema/sample/sample_id
					sample_label		str	1..1	A human-readable description of the sample, short enough to be used for listings within software user interfaces, tables, illustration legends, etc.	https://w3id.org/fga-wg/schema/sample/sample_label
					sample_description		str	0..1	Human-readable description of the biospecimen/sample and the sampling process.	https://w3id.org/fga-wg/schema/sample/sample_description
					donor_organism_ref		Curie	1..1	Internal reference to the donor/organism from which the biospecimen/sample was taken.	https://w3id.org/fga-wg/schema/sample/donor_organism_ref
					biospecimen_classification		BiospecimenClassification	1..1	Main type of structural unit to be used for classification of the biospecimen/sample.	https://w3id.org/fga-wg/schema/sample/biospecimen_classification
